ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
3041889,Cool Lower East Side 1-bd + rooftop,4964109,Mel,Manhattan,Lower East Side,40.71995474,-73.98644779,Entire home/apt,155,5,5,16/05/2015,0.5,1,226
6311072,Great Studio Apartment on UWS,2092324,Brian,Manhattan,Upper West Side,40.78411648,-73.97830936,Entire home/apt,170,1,0,,,1,353
3342496,1 BR in Bushwick,3311210,Dogan,Brooklyn,Bushwick,40.70386395,-73.91903364,Entire home/apt,70,4,1,31/07/2014,0.1,1,91
4457433,"Adorable, Large South Slope Apt",1308186,Erin,Brooklyn,Sunset Park,40.6627747,-73.99302591,Entire home/apt,119,1,0,,,1,188
4738271,Cozy & Charmin Greenpoint apart.,24460999,Maria Mercedes,Brooklyn,Greenpoint,40.72377797,-73.93897241,Entire home/apt,120,1,0,,,1,153
5917981,"Chelsea highrise with view, 33rd fl",6150652,Mikael,Manhattan,Flatiron District,40.7443165,-73.99150287,Entire home/apt,295,3,3,19/05/2015,2.6,1,178
19743,Sunny 1 BR in Great Neighborhood,74686,Sarah,Brooklyn,Fort Greene,40.68721008,-73.97216083,Entire home/apt,150,3,19,1/06/2015,0.3,1,280
6311264,Two Bedroom Bushwick Artists' Loft,32831864,Simone,Brooklyn,Bushwick,40.70013906,-73.93727818,Entire home/apt,169,1,0,,,2,118
6510122,Large luxury Studio@Columbus Circle,34035525,Jen,Manhattan,Hell's Kitchen,40.76808615,-73.98456647,Entire home/apt,150,1,0,,,1,0
3952093,Entire 2 bdrm/2 bth UWS/RiversdePrk,20484008,Mike,Manhattan,Upper West Side,40.79406772,-73.97513319,Entire home/apt,200,1,1,27/10/2014,0.1,2,254
6180324,Private Big Room in Manhattan,7580038,Jack,Manhattan,Harlem,40.824174,-73.94687304,Private room,62,6,0,,,5,59
5879371,Beautiful Upper East Side 1 Bedroom,30531104,Arly,Manhattan,Upper East Side,40.76224029,-73.95856453,Entire home/apt,250,1,0,,,1,33
6554933,"Small, private Astoria room!",34282067,Rachel,Queens,Astoria,40.76809822,-73.9301781,Private room,45,1,0,,,1,341
1190567,"Two bedroom in Gramercy, Doorman ",4124346,Artyom,Manhattan,Gramercy,40.735516,-73.98211463,Entire home/apt,170,14,3,4/08/2014,0.1,2,212
525674,"Sunny big room, 25 min to Manhattan",702998,Lotte (Aka Daniela),Queens,Rego Park,40.73004755,-73.85511255,Private room,68,2,48,4/05/2015,1.4,2,221
2360793,Private bedroom in Upper Manhattan,12056260,Michael,Manhattan,Harlem,40.81012969,-73.94043315,Private room,80,1,16,24/05/2015,1.6,1,52
787968,Cozy and Spacious Living Uptown,4153386,Daniel,Manhattan,Harlem,40.81980371,-73.9459085,Entire home/apt,140,7,1,5/01/2013,0,1,365
2259483,Cool & Cozy Apt in Fun East Village,11538802,Joe,Manhattan,Stuyvesant Town,40.72950266,-73.97534994,Entire home/apt,175,1,16,17/05/2015,1,1,308
3442004,Stunning Sunny Bedroom in Bushwick,17346389,Hannah,Brooklyn,Bushwick,40.70001437,-73.93853094,Private room,70,1,0,,,1,309
5926407,Classic Park Slope brownstone,30768511,Richard,Brooklyn,Park Slope,40.67576033,-73.97232884,Entire home/apt,275,1,0,,,1,54
4982699,Two Bedroom Apartment,25686141,Linden,Queens,Ozone Park,40.67958572,-73.84695908,Entire home/apt,99,2,3,17/05/2015,2.6,1,301
3288539,HUGE TRIBECA LOFT - 1 large room,838337,Megan,Manhattan,Tribeca,40.71595109,-74.00647637,Private room,129,7,1,13/12/2014,0.2,1,186
1096988,Lovely Greenwich Village w Garden,6028288,Greg,Manhattan,West Village,40.73639198,-74.00937879,Entire home/apt,178,7,2,27/09/2014,0.2,1,167
188142,Chelsea Studio w/ Private Garden,906163,Rick,Manhattan,Chelsea,40.74647986,-74.0037611,Entire home/apt,170,2,9,14/04/2015,0.2,1,87
1715962,2-Bedroom on the Upper East Side,9032881,Stana,Manhattan,Upper East Side,40.77851194,-73.94764085,Entire home/apt,200,5,3,17/08/2014,0.2,1,151
5385981,Sunny Bedroom with Roof + Location,16598579,Irina,Brooklyn,Williamsburg,40.71763261,-73.94361377,Private room,60,1,0,,,1,77
6434634,Yoga Room,22407426,Pukar,Queens,Elmhurst,40.74333318,-73.86889976,Private room,65,1,1,24/05/2015,1,2,365
5114498,Private Zen Studio,26068498,Jeni & Desmond,Manhattan,Upper East Side,40.77301061,-73.94741088,Entire home/apt,200,2,2,8/04/2015,0.6,2,256
6032168,"20mins to Manhattan, Private Room B",6186498,Heeran,Queens,Ridgewood,40.69978097,-73.91122994,Private room,60,2,8,31/05/2015,6.3,2,219
6303916,Spacious Room in Huge SoHo 3bedroom,32785916,Tim,Manhattan,Tribeca,40.71928952,-74.00441557,Private room,135,7,0,,,1,353
5931313,Large/Furnished/Spacious 1 bedroom ,5533271,Kelly,Queens,Forest Hills,40.71186072,-73.8358588,Entire home/apt,100,7,0,,,3,350
4828320,New G/E Village Luxury 1 Bedroom,24858443,Gabriel,Manhattan,East Village,40.73182743,-73.98825655,Entire home/apt,750,1,0,,,1,309
4085137,Great spot in heart of Astoria,21188861,Yessica,Queens,Ditmars Steinway,40.77248302,-73.90578373,Private room,41,1,0,,,1,219
2250170,Spacious/New 3 Bedroom East Village,11492501,Victoria,Manhattan,Stuyvesant Town,40.73205188,-73.98093757,Entire home/apt,1500,1,0,,,1,365
3709042,Huge bedroom in 2bd apt in Chelsea,2068871,New,Manhattan,Chelsea,40.74438397,-73.99986657,Private room,150,2,1,16/08/2014,0.1,1,364
1182844,"Large apt at Central Park, TimesSq",6470443,Alex,Manhattan,Hell's Kitchen,40.76635554,-73.98549814,Entire home/apt,199,1,4,23/05/2015,0.5,1,204
4485757,Bright Bedroom in downtown NYC,627640,Matt,Manhattan,Lower East Side,40.71248839,-73.98986144,Private room,150,1,0,,,2,333
5133944,Large room/Astoria/Next to metro,26540739,Emily,Queens,Long Island City,40.75957612,-73.92936127,Private room,60,1,0,,,1,104
391948,Large Room with three single beds,1960128,Luana,Queens,Ozone Park,40.68580569,-73.8464182,Shared room,40,1,3,23/09/2014,0.1,2,288
808618,Spacious & Sunny in Scenic Kw Gdns,4254417,Renee,Queens,Kew Gardens,40.70947341,-73.82922454,Private room,85,3,0,,,1,365
